【質問】 今日は晴天である,0
【質問】 今日は朝食を食べた,1
【質問】 昨日はお風呂に入った後にご飯を食べた,1
【質問】 今日はなんだか足が軽い気がする,1
【質問】 最近計画通りに休日を過ごすことができている,0
【質問】 今日は自炊をしたい気分である,1
【質問】 半年のうちに水族館に行った,0
【質問】 1ヶ月のうちに旅行の予定がある,0
【質問】 今日は昨日より暖かいと感じる,1
【質問】 日本の将来への不安を1週間以内に感じたことがある,1
【質問】 玄関を出るとき左足から踏み出した,1
【質問】 今日は電車で座ることができた,0
【質問】 今日の洋服に青色が入っている,0
【質問】 今年の12月31日が何曜日か知っている,1
【質問】 最近年を取ったと感じたことがあった,1
【質問】 今日は目覚めが良かった,1
【質問】 昨日は嫌なことが多かったので気分を入れ替えて過ごすつもりである,0
【質問】 週末のことを考えるとニヤけてしまう,1
【質問】 今日のお昼は豪華にいきたい気分,0
【質問】 今日はエスカレーターより階段にしたい気分,0
【質問】 昨日を爪をきった,0
【質問】 最近見たいドラマができた,1
【質問】 最近お気に入りのギャグがある,0
【質問】 最近借りたDVDで感動した,1
【質問】 昔よく見ていた漫画を最近読んだ,0
【質問】 最近ダイエットに挑戦している,1
【質問】 旅行に行くのであれば、”山”派より”海”派だ,0
【質問】 昨日、充実した1日だったと感じた日だった,1
【質問】 私は、”右利き”だ,0
【質問】 ”卵”と”玉子”の違いを知っている,0
